STARTING APP .........

Beginning translation of logical addresses to physical addresses...
virt: 0x4214 (pg:0x42,off:0x14)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x0014, val:    0	  tlb_Hits:  0
virt: 0xf41d (pg:0xf4,off:0x1d)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x011d, val:    0	  tlb_Hits:  0
virt: 0x75f6 (pg:0x75,off:0xf6)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x02f6, val:   29	  tlb_Hits:  0
virt: 0xd1b3 (pg:0xd1,off:0xb3)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x03b3, val:  108	  tlb_Hits:  0
virt: 0x9cf9 (pg:0x9c,off:0xf9)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x04f9, val:    0	  tlb_Hits:  0

virt: 0x706d (pg:0x70,off:0x6d)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x056d, val:    0	  tlb_Hits:  0
virt: 0x5f8e (pg:0x5f,off:0x8e)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x068e, val:   23	  tlb_Hits:  0
virt: 0xbd0f (pg:0xbd,off:0x f)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x070f, val:   67	  tlb_Hits:  0
virt: 0xfd2f (pg:0xfd,off:0x2f)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x082f, val:   75	  tlb_Hits:  0
virt: 0x4777 (pg:0x47,off:0x77)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x0977, val:  -35	  tlb_Hits:  0

virt: 0x2fba (pg:0x2f,off:0xba)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x0aba, val:   11	  tlb_Hits:  0
virt: 0x58e8 (pg:0x58,off:0xe8)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x0be8, val:    0	  tlb_Hits:  0
virt: 0xe27e (pg:0xe2,off:0x7e)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x0c7e, val:   56	  tlb_Hits:  0
virt: 0x6d3e (pg:0x6d,off:0x3e)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x0d3e, val:   27	  tlb_Hits:  0
virt: 0xd66e (pg:0xd6,off:0x6e)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x0e6e, val:   53	  tlb_Hits:  0

virt: 0x9811 (pg:0x98,off:0x11)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x0f11, val:    0	  tlb_Hits:  0
virt: 0x8061 (pg:0x80,off:0x61)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x1061, val:    0	  tlb_Hits:  0
virt: 0xfaf3 (pg:0xfa,off:0xf3)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x11f3, val:  -68	  tlb_Hits:  0
virt: 0x090b (pg:0x 9,off:0x b)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x120b, val:   66	  tlb_Hits:  0
virt: 0xfbc6 (pg:0xfb,off:0xc6)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x13c6, val:   62	  tlb_Hits:  0

virt: 0xd701 (pg:0xd7,off:0x 1)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x1401, val:    0	  tlb_Hits:  0
virt: 0x48c9 (pg:0x48,off:0xc9)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x15c9, val:    0	  tlb_Hits:  0
virt: 0x38dd (pg:0x38,off:0xdd)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x16dd, val:    0	  tlb_Hits:  0
virt: 0xee4e (pg:0xee,off:0x4e)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x174e, val:   59	  tlb_Hits:  0
virt: 0xf497 (pg:0xf4,off:0x97)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x0197, val:   37	  tlb_Hits:  0

virt: 0x1da7 (pg:0x1d,off:0xa7)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x18a7, val:  105	  tlb_Hits:  0
virt: 0xfceb (pg:0xfc,off:0xeb)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x19eb, val:   58	  tlb_Hits:  0
virt: 0x1a47 (pg:0x1a,off:0x47)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x1a47, val: -111	  tlb_Hits:  0
virt: 0x7e3b (pg:0x7e,off:0x3b)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x1b3b, val: -114	  tlb_Hits:  0
virt: 0xece5 (pg:0xec,off:0xe5)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x1ce5, val:    0	  tlb_Hits:  0

virt: 0x18a4 (pg:0x18,off:0xa4)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x1da4, val:    0	  tlb_Hits:  0
virt: 0xb278 (pg:0xb2,off:0x78)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x1e78, val:    0	  tlb_Hits:  0
virt: 0x03c9 (pg:0x 3,off:0xc9)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x1fc9, val:    0	  tlb_Hits:  0
virt: 0x9fbb (pg:0x9f,off:0xbb)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x20bb, val:  -18	  tlb_Hits:  0
virt: 0xc08e (pg:0xc0,off:0x8e)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x218e, val:   48	  tlb_Hits:  0

virt: 0xa09e (pg:0xa0,off:0x9e)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x229e, val:   40	  tlb_Hits:  0
virt: 0x5393 (pg:0x53,off:0x93)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x2393, val:  -28	  tlb_Hits:  0
virt: 0x17cb (pg:0x17,off:0xcb)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x24cb, val:  -14	  tlb_Hits:  0
virt: 0x7f1d (pg:0x7f,off:0x1d)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x251d, val:    0	  tlb_Hits:  0
virt: 0x4501 (pg:0x45,off:0x 1)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x2601, val:    0	  tlb_Hits:  0

virt: 0x0ec8 (pg:0x e,off:0xc8)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x27c8, val:    0	  tlb_Hits:  0
virt: 0x702e (pg:0x70,off:0x2e)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x052e, val:   28	  tlb_Hits:  0
virt: 0xe768 (pg:0xe7,off:0x68)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x2868, val:    0	  tlb_Hits:  0
virt: 0x9cf2 (pg:0x9c,off:0xf2)---> -----------, *IN_P_TBLE*, -----------,  phys: 0x04f2, val:   39	  tlb_Hits:  0
virt: 0xeab6 (pg:0xea,off:0xb6)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x29b6, val:   58	  tlb_Hits:  0

virt: 0xa50c (pg:0xa5,off:0x c)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x2a0c, val:    0	  tlb_Hits:  0
virt: 0xaee2 (pg:0xae,off:0xe2)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x2be2, val:   43	  tlb_Hits:  0
virt: 0x57f2 (pg:0x57,off:0xf2)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x2cf2, val:   21	  tlb_Hits:  0
virt: 0x0bfb (pg:0x b,off:0xfb)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x2dfb, val:   -2	  tlb_Hits:  0
virt: 0x3d8d (pg:0x3d,off:0x8d)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x2e8d, val:    0	  tlb_Hits:  0

virt: 0x7ba1 (pg:0x7b,off:0xa1)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x2fa1, val:    0	  tlb_Hits:  0
virt: 0x2a5a (pg:0x2a,off:0x5a)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x305a, val:   10	  tlb_Hits:  0
virt: 0xaaf5 (pg:0xaa,off:0xf5)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x31f5, val:    0	  tlb_Hits:  0
virt: 0x827d (pg:0x82,off:0x7d)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x327d, val:    0	  tlb_Hits:  0
virt: 0xaf9a (pg:0xaf,off:0x9a)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x339a, val:   43	  tlb_Hits:  0

virt: 0xdd51 (pg:0xdd,off:0x51)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x3451, val:    0	  tlb_Hits:  0
virt: 0x138b (pg:0x13,off:0x8b)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x358b, val:  -30	  tlb_Hits:  0
virt: 0xc433 (pg:0xc4,off:0x33)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x3633, val:   12	  tlb_Hits:  0
virt: 0x4b9e (pg:0x4b,off:0x9e)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x379e, val:   18	  tlb_Hits:  0
virt: 0x8eb1 (pg:0x8e,off:0xb1)---> -----------, ---------- , *IN_BACK_S*,  phys: 0x38b1, val:    0	  tlb_Hits:  0

